,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Intercept,RAPM__Off,RAPM__Off_Rank,playerId,playerName
316,-0.268,329.0,0.049,224.0,111.321,-0.318,364.0,201577,Robin Lopez
317,-1.118,467.0,-0.698,464.0,111.321,-0.421,391.0,201580,JaVale McGee
318,-0.455,363.0,0.338,141.0,111.321,-0.793,470.0,201583,Ryan Anderson
319,-0.683,411.0,-0.0,250.0,111.321,-0.683,451.0,201584,Courtney Lee
320,-0.062,268.0,0.029,235.0,111.321,-0.091,296.0,201585,Kosta Koufos
321,0.158,198.0,-0.181,341.0,111.321,0.339,134.0,201586,Serge Ibaka
322,0.434,150.0,0.33,144.0,111.321,0.104,198.0,201587,Nicolas Batum
323,1.722,40.0,1.449,11.0,111.321,0.273,149.0,201588,George Hill
324,-0.512,377.0,0.285,156.0,111.321,-0.797,471.0,201599,DeAndre Jordan
325,0.316,165.0,0.27,157.0,111.321,0.046,231.0,201601,Luc Mbah a Moute
326,0.895,88.0,0.308,150.0,111.321,0.586,93.0,201609,Goran Dragic
327,0.685,107.0,0.144,181.0,111.321,0.541,102.0,201933,Blake Griffin
328,2.414,15.0,-0.249,366.0,111.321,2.662,4.0,201935,James Harden
329,0.255,180.0,0.599,89.0,111.321,-0.344,372.0,201936,Tyreke Evans
330,1.08,72.0,0.768,69.0,111.321,0.312,143.0,201937,Ricky Rubio
331,4.081,3.0,1.292,17.0,111.321,2.789,2.0,201939,Stephen Curry
332,-0.112,282.0,-0.108,299.0,111.321,-0.004,256.0,201942,DeMar DeRozan
333,-0.872,439.0,-0.205,350.0,111.321,-0.667,447.0,201949,James Johnson
334,2.907,7.0,0.986,42.0,111.321,1.92,10.0,201950,Jrue Holiday
335,0.49,132.0,-0.184,342.0,111.321,0.673,78.0,201952,Jeff Teague
336,0.336,164.0,-0.121,307.0,111.321,0.457,115.0,201954,Darren Collison
337,0.911,85.0,0.823,59.0,111.321,0.088,205.0,201956,Omri Casspi
338,-0.381,355.0,-0.598,450.0,111.321,0.217,162.0,201959,Taj Gibson
339,0.598,121.0,0.027,236.0,111.321,0.571,95.0,201960,DeMarre Carroll
340,-0.604,400.0,0.004,247.0,111.321,-0.609,439.0,201961,Wayne Ellington
341,-1.967,512.0,-0.783,477.0,111.321,-1.184,507.0,201967,Dante Cunningham
342,-0.245,321.0,-0.281,377.0,111.321,0.037,235.0,201973,Jonas Jerebko
343,0.07,219.0,-0.263,373.0,111.321,0.333,136.0,201975,Jodie Meeks
344,1.752,39.0,0.303,151.0,111.321,1.448,24.0,201976,Patrick Beverley
345,4.186,1.0,1.452,10.0,111.321,2.734,3.0,201980,Danny Green
346,1.521,47.0,-0.561,445.0,111.321,2.082,7.0,201988,Patty Mills
347,-0.09,278.0,0.626,88.0,111.321,-0.715,458.0,202066,Garrett Temple
348,-0.04,261.0,-0.191,349.0,111.321,0.151,179.0,202083,Wesley Matthews
349,-1.151,469.0,-0.092,290.0,111.321,-1.059,500.0,202322,John Wall
350,-0.04,260.0,-0.551,441.0,111.321,0.512,110.0,202323,Evan Turner
351,0.427,151.0,0.981,44.0,111.321,-0.554,426.0,202324,Derrick Favors
352,-1.203,475.0,-0.382,406.0,111.321,-0.821,474.0,202325,Wesley Johnson
353,-0.062,267.0,0.542,103.0,111.321,-0.604,437.0,202326,DeMarcus Cousins
354,-0.541,384.0,-0.536,437.0,111.321,-0.005,258.0,202327,Ekpe Udoh
355,-0.818,429.0,-0.036,271.0,111.321,-0.782,468.0,202328,Greg Monroe
356,2.147,19.0,0.457,115.0,111.321,1.69,16.0,202329,Al-Farouq Aminu
357,1.489,50.0,0.382,134.0,111.321,1.107,39.0,202330,Gordon Hayward
358,4.042,4.0,2.028,1.0,111.321,2.014,8.0,202331,Paul George
359,1.437,55.0,1.631,6.0,111.321,-0.194,329.0,202334,Ed Davis
360,-1.537,494.0,-0.439,420.0,111.321,-1.098,504.0,202335,Patrick Patterson
361,2.493,12.0,1.096,31.0,111.321,1.398,30.0,202339,Eric Bledsoe
362,-0.073,273.0,0.42,125.0,111.321,-0.493,409.0,202340,Avery Bradley
363,-0.504,374.0,0.058,215.0,111.321,-0.563,429.0,202347,Quincy Pondexter
364,0.279,174.0,0.654,82.0,111.321,-0.375,380.0,202355,Hassan Whiteside
365,0.707,104.0,-0.244,364.0,111.321,0.951,50.0,202357,Nemanja Bjelica
366,-0.62,403.0,-0.222,356.0,111.321,-0.398,384.0,202362,Lance Stephenson
367,-1.556,496.0,0.525,105.0,111.321,-2.081,525.0,202391,Jeremy Lin
368,0.68,109.0,-0.407,412.0,111.321,1.087,41.0,202397,Ish Smith
369,-1.371,488.0,0.297,154.0,111.321,-1.668,518.0,202498,Lance Thomas
370,2.0,24.0,0.564,96.0,111.321,1.435,25.0,202681,Kyrie Irving
371,-1.027,458.0,-0.966,495.0,111.321,-0.062,286.0,202683,Enes Kanter
372,-1.308,484.0,-1.228,515.0,111.321,-0.08,290.0,202684,Tristan Thompson
373,0.449,144.0,0.231,160.0,111.321,0.218,160.0,202685,Jonas Valanciunas
374,-1.366,487.0,-0.428,417.0,111.321,-0.938,491.0,202687,Bismack Biyombo
375,-1.124,468.0,-0.426,415.0,111.321,-0.698,454.0,202688,Brandon Knight
376,1.18,65.0,-0.583,448.0,111.321,1.764,14.0,202689,Kemba Walker
377,-0.53,381.0,-0.256,368.0,111.321,-0.275,348.0,202690,Jimmer Fredette
378,0.46,141.0,-0.189,346.0,111.321,0.649,80.0,202691,Klay Thompson
379,-2.038,513.0,-1.147,512.0,111.321,-0.892,486.0,202692,Alec Burks
380,-1.699,501.0,-0.991,498.0,111.321,-0.708,456.0,202693,Markieff Morris
381,-0.399,356.0,-0.73,470.0,111.321,0.33,139.0,202694,Marcus Morris
382,1.26,61.0,-0.067,278.0,111.321,1.327,31.0,202695,Kawhi Leonard
383,1.888,31.0,1.104,28.0,111.321,0.784,65.0,202696,Nikola Vucevic
384,-0.842,434.0,-0.421,414.0,111.321,-0.421,392.0,202697,Iman Shumpert
385,0.23,183.0,-0.097,294.0,111.321,0.328,140.0,202699,Tobias Harris
386,-0.256,323.0,-0.118,305.0,111.321,-0.138,311.0,202700,Donatas Motiejunas
387,0.193,188.0,-0.497,428.0,111.321,0.69,71.0,202702,Kenneth Faried
388,0.755,100.0,0.077,206.0,111.321,0.678,77.0,202703,Nikola Mirotic
389,0.633,116.0,0.552,99.0,111.321,0.081,210.0,202704,Reggie Jackson
390,-0.197,305.0,0.105,193.0,111.321,-0.302,358.0,202705,MarShon Brooks
391,1.669,43.0,1.461,8.0,111.321,0.207,164.0,202709,Cory Joseph
392,1.411,56.0,0.726,73.0,111.321,0.684,74.0,202710,Jimmy Butler
393,0.835,92.0,0.769,68.0,111.321,0.065,220.0,202711,Bojan Bogdanovic
394,-2.372,520.0,-0.777,475.0,111.321,-1.595,517.0,202714,Shelvin Mack
395,-0.625,405.0,-0.019,261.0,111.321,-0.606,438.0,202718,Chandler Parsons
396,-1.474,492.0,-0.167,332.0,111.321,-1.307,512.0,202720,Jon Leuer
397,1.953,27.0,-0.21,352.0,111.321,2.163,5.0,202722,Davis Bertans
398,-0.017,251.0,-0.623,453.0,111.321,0.606,88.0,202734,ETwaun Moore
399,-0.483,369.0,0.075,207.0,111.321,-0.557,427.0,202738,Isaiah Thomas
400,0.968,82.0,0.863,55.0,111.321,0.106,197.0,202954,Brad Wanamaker
401,1.458,53.0,0.439,120.0,111.321,1.019,45.0,203076,Anthony Davis
402,0.473,134.0,0.429,123.0,111.321,0.044,232.0,203077,Michael Kidd-Gilchrist
403,0.048,227.0,-1.109,509.0,111.321,1.157,38.0,203078,Bradley Beal
404,-0.667,409.0,-0.237,362.0,111.321,-0.43,394.0,203079,Dion Waiters
405,2.681,11.0,0.523,106.0,111.321,2.158,6.0,203081,Damian Lillard
406,-0.334,341.0,0.328,145.0,111.321,-0.662,446.0,203082,Terrence Ross
407,2.257,17.0,0.44,119.0,111.321,1.816,12.0,203083,Andre Drummond
408,0.674,111.0,0.631,86.0,111.321,0.044,233.0,203084,Harrison Barnes
409,0.734,102.0,-0.047,274.0,111.321,0.782,66.0,203085,Austin Rivers
410,-1.08,462.0,-1.097,508.0,111.321,0.017,246.0,203086,Meyers Leonard
411,0.993,79.0,0.498,109.0,111.321,0.495,112.0,203087,Jeremy Lamb
412,-0.367,351.0,-0.173,339.0,111.321,-0.194,328.0,203089,John Henson
413,1.168,67.0,0.631,85.0,111.321,0.536,104.0,203090,Maurice Harkless
414,0.183,190.0,-0.01,254.0,111.321,0.192,166.0,203092,Tyler Zeller
415,-0.203,307.0,-0.054,276.0,111.321,-0.149,316.0,203093,Terrence Jones
416,0.446,146.0,-0.072,281.0,111.321,0.518,109.0,203095,Evan Fournier
417,-0.569,391.0,-0.023,263.0,111.321,-0.546,425.0,203098,John Jenkins
418,-0.55,387.0,-0.292,382.0,111.321,-0.258,344.0,203101,Miles Plumlee
419,0.463,140.0,0.153,179.0,111.321,0.31,144.0,203107,Tomas Satoransky
420,0.472,135.0,-0.448,423.0,111.321,0.92,54.0,203109,Jae Crowder
421,2.037,23.0,1.097,30.0,111.321,0.94,52.0,203110,Draymond Green
422,0.382,157.0,0.581,94.0,111.321,-0.198,330.0,203112,Quincy Acy
423,2.181,18.0,0.997,40.0,111.321,1.183,37.0,203114,Khris Middleton
424,-0.459,364.0,-0.165,330.0,111.321,-0.294,353.0,203115,Will Barton
425,-0.126,291.0,0.204,167.0,111.321,-0.33,369.0,203118,Mike Scott
426,0.483,133.0,-0.126,311.0,111.321,0.609,87.0,203121,Darius Miller
